job_id,skill_abr
4413575214,OTHR
4422920276,DSGN
4422920276,CNSL
4422920276,ENG
4405086698,IT
4424076747,MNFC
4424076747,PROD
4424076747,SUPL
4422699594,IT
4422913494,DSGN
4363435025,ENG
4363435025,IT
4422905597,IT
4424086614,ENG
4424086614,IT
4424079740,ENG
4424079740,IT
4413944406,ENG
4413944406,IT
4424093242,QA
4419694689,ENG
4419694689,IT
4422916464,RSCH
4422916464,ANLS
4422913429,ENG
4403952937,ENG
4403952937,IT
4424071992,ENG
4424071992,IT
4245840360,MNFC
4424073856,MGMT
4424073856,MNFC
4403977482,ENG
4403977482,IT
4422910531,ENG
4422910531,IT
4424073882,ENG
4424073882,IT
4422913465,ENG
4422915298,IT
4373917414,ENG
4373917414,IT
4424088363,BD
4424088363,SALE
4423246899,ENG
4423246899,IT
4424084533,ENG
4424084533,IT
4419692654,RSCH
4419692654,ANLS
4419692654,IT
4401622498,ENG
4401622498,IT
4413446801,ENG
4413446801,IT
4424097066,ENG
4424097066,IT
4412194256,ENG
4412194256,IT
4422909403,DSGN
4422909403,CNSL
4422909403,ENG
4424083512,ENG
4424083512,IT
4422901642,ENG
4422901642,IT
4422901642,RSCH
4390813700,MNFC
4404826332,ENG
4404826332,IT
4424079701,ENG
4424079701,IT
4424090394,ENG
4424090394,IT
4419684764,IT
4392943552,ENG
4392943552,IT
4424084508,ENG
4424084508,IT
4392197369,IT
4422698765,ENG
4422698765,IT
4229838923,ENG
4229838923,IT
4422916423,IT
4385022169,ENG
4385022169,IT
4424081618,ENG
4424081618,IT
4419677671,BD
4419677671,SALE
4424090341,ENG
4424090341,IT
4410166833,ENG
4410166833,IT
4419696316,IT
4419677747,ENG
4419677747,IT
4419677747,ANLS
4401640895,IT
4424077603,DSGN
4419656870,ENG
4419656870,IT
4422698971,IT
4424076770,ENG
4424076770,IT
4422919332,QA
4422919332,IT
4422919332,BD
4354133566,ENG
4354133566,IT
4424080638,ENG
4424080638,IT
4424083670,ENG
4424083670,IT
4412187658,ENG
4412187658,IT
4424073979,RSCH
4424073979,ANLS
4424090328,IT
4424091405,ENG
4424091405,IT
4424075717,IT
4424089333,ENG
4424089333,IT
4419692537,IT
4424073917,ENG
4424073917,IT
4395031609,OTHR
4424076704,IT
4422909527,MGMT
4420100050,IT
4424093344,CNSL
4413447414,ENG
4413447414,IT
4422909433,QA
4403983328,ENG
4403983328,IT
4424087465,ENG
4424087465,IT
4419677718,ENG
4419677718,IT
4422915389,ENG
4422915389,IT
4424080627,IT
4422907579,ENG
4422907579,IT
4422902545,IT
4422911548,IT
4424080704,ENG
4424080704,IT
4354554213,IT
4365940595,ENG
4365940595,IT
4424071975,ENG
4424071975,IT
4424080725,IT
4424092291,ENG
4424092291,IT
4387808805,ENG
4387808805,IT
4229839876,ENG
4229839876,IT
4424090484,ENG
4424090484,IT
4424072991,ENG
4424071988,ENG
4424071988,IT
4382929748,ENG
4382929748,IT
4422904576,IT
4422912450,RSCH
4422912450,ANLS
4393211040,ENG
4393211040,IT
4422916369,ENG
4410178873,ENG
4410178873,IT
4419686692,ENG
4419686692,IT
4422905776,OTHR
4424093274,ENG
4424093274,IT
4403679095,ENG
4403679095,IT
4282211964,ENG
4282211964,IT
4412176830,ENG
4412176830,IT
4404596950,ENG
4404596950,IT
4419695180,ENG
4419695180,IT
4424084538,ENG
4424084538,IT
4422902630,ENG
4422902630,IT
4422911405,IT
4419692626,ENG
4419692626,IT
4413820328,IT
4413820328,ENG
4229838955,ENG
4229838955,IT
4424089347,ENG
4424089347,IT
4413450636,IT
4410377496,ENG
4410377496,IT
4413575209,OTHR
4413441103,ENG
4413441103,IT
4251956100,MGMT
4251956100,MNFC
4410158406,ENG
4410158406,IT
4424084598,IT
4424084598,ENG
4422398237,ENG
4422398237,IT
4412389490,ENG
4412389490,DSGN
4422906601,RSCH
4422906601,ANLS
4424079730,ENG
4424079730,IT
4395562567,QA
4424091424,RSCH
4424091424,ANLS
4424091424,IT
4413439775,ENG
4413439775,IT
4422921352,ENG
4422921352,IT
4413444846,ENG
4413444846,IT
4413449637,ENG
4413449637,IT
4424086591,ENG
4424086591,IT
4419690825,MRKT
4419690825,PRDM
4422906550,ENG
4422906550,IT
4419683741,IT
4419683741,CNSL
4419683741,OTHR
4424079718,ENG
4424079718,IT
4290108887,ENG
4290108887,IT
4422902503,ENG
4424088550,ENG
4424088550,IT
4419685729,SALE
4419685729,BD
4419678857,ENG
4419678857,IT
4424086581,IT
4422698791,MRKT
4419690820,IT
3815874004,ENG
3815874004,IT
4412183724,ENG
4412183724,IT
4395079105,IT
4395079105,ENG
4422699738,IT
4422911584,ENG
4422911584,IT
4413841857,IT
4413841857,ENG
4424073943,IT
4413443320,ENG
4413443320,IT
4424077693,ENG
4424077693,IT
4260781883,IT
4379659706,ENG
4379659706,IT
4422910471,ENG
4422910471,IT
4424083677,IT
4424071936,ENG
4424071936,IT
4279664186,ENG
4279664186,IT
4424085562,BD
4424085562,SALE
4424094183,ENG
4424094183,IT
4395044161,ENG
4395044161,IT
4424070977,IT
4391726924,ENG
4391726924,IT
4424073744,ENG
4424073744,IT
4413428955,IT
4413714936,ENG
4413714936,IT
4424094202,ENG
4424094202,IT
4424080636,ENG
4424080636,IT
4424083519,IT
4424092247,ADVR
4413439774,ENG
4413439774,IT
4422902609,ENG
4422902609,IT
4419676842,ENG
4419676842,IT
4241955842,ENG
4241955842,IT
4424072958,ENG
4424072958,IT
4394495636,ENG
4394495636,IT
4338385050,ENG
4422905583,MGMT
4422905583,MNFC
4413568030,IT
4413444489,ENG
4413444489,IT
4422901619,ENG
4247436602,MGMT
4247436602,MNFC
4229838947,PRCH
4422919549,DSGN
4424090360,ENG
4424090360,IT
4321321512,ENG
4321321512,IT
4423238929,ENG
4423238929,IT
4423911342,ENG
4423911342,IT
4422901629,IT
4424096020,IT
4422908560,IT
4410359553,IT
4422361552,IT
4424080685,ENG
4424080685,IT
4419694615,ENG
4419694615,IT
4404840588,IT
4394497549,ENG
4394497549,IT
4229838969,MGMT
4229838969,MNFC
4424083336,ENG
4424083336,IT
4422911486,PROD
4422914392,ENG
4422914392,IT
4424091417,ENG
4424091417,IT
4410366541,IT
4422917286,DSGN
4422917286,CNSL
4422917286,ENG
4424080666,ENG
4424080666,IT
4229843297,ENG
4229843297,IT
4343614443,ENG
4343614443,IT
4424076645,ENG
4424090448,IT
4424081610,ENG
4424081610,IT
4413449645,IT
4424074732,IT
4238256426,ENG
4422918406,IT
4229840655,ENG
4229840655,IT
4290112381,ENG
4290112381,IT
4419675953,ENG
4419675953,IT
4419683748,ENG
4419683748,IT
4382934341,ENG
4401907797,ENG
4401907797,IT
4413438849,ENG
4413438849,IT
4415272542,EDU
4415272542,TRNG
4424080622,ENG
4424080622,IT
4422353987,ENG
4422353987,IT
4422353987,PRDM
4419684866,ENG
4419684866,IT
4332987455,ENG
4332987455,IT
4413437875,ENG
4413437875,IT
4403658357,ENG
4403658357,IT
4401615595,ENG
4401615595,IT
4424082556,IT
4419688620,EDU
4419688620,TRNG
4392900556,ENG
4392900556,IT
4413428952,IT
4422911553,RSCH
4422911553,ANLS
4424090456,OTHR
4424090456,IT
4424090456,ENG
4422900683,DSGN
4422921454,ENG
4422921454,IT
4410196236,ENG
4410196236,IT
4246628172,ENG
4403624559,IT
4403624559,ENG
4410180444,OTHR
4422908456,DSGN
4422908456,CNSL
4422908456,ENG
4413443839,IT
4393296030,RSCH
4229844285,PRJM
4424081639,IT
4424084520,ENG
4424084520,IT
4419691606,OTHR
4422901374,ENG
4422901374,IT
4248239767,PRJM
4424095117,ENG
4424095117,IT
4229839899,PRJM
4422919380,RSCH
4422919380,ANLS
4415347810,ENG
4415347810,IT
4424071941,DSGN
4424071941,ART
4424071941,IT
4424091303,ENG
4424091303,IT
4424078732,ENG
4424078732,IT
4424085465,EDU
4424085465,TRNG
4289633859,IT
4289633859,ENG
4289633859,BD
4424079593,ENG
4424079593,IT
4424079593,ADM
4422913449,ENG
4422913449,IT
4381845074,OTHR
4424097054,ENG
4424097054,IT
4419698058,IT
4419698058,PRJM
4419698058,ENG
4419697181,MNFC
4229843300,PRJM
4413440739,IT
4393848607,ENG
4393848607,IT
4422905586,IT
4424088392,IT
4424080740,IT
4422905510,DSGN
4422905510,CNSL
4422905510,ENG
4381874910,ENG
4381874910,IT
4413432941,IT
4419697239,RSCH
4419697239,PRJM
4419697239,IT
4422916415,ENG
4422916415,IT
4383474918,ENG
4383474918,IT
4413415461,ENG
4413415461,IT
4388370986,MGMT
4388370986,MNFC
4413443724,IT
4423865729,IT
4424072992,PRDM
4424088509,BD
4424088509,SALE
4424072892,ENG
4424072892,IT
4413442825,ENG
4413442825,IT
4424075758,IT
4424075758,GENB
4424075758,SALE
4422921333,IT
4323688452,OTHR
4419698182,BD
4410167811,ENG
4410167811,IT
4424094236,IT
4424078693,ENG
4424078693,IT
4424090347,ENG
4424090347,IT
4373914724,ENG
4373914724,IT
4424071916,ENG
4424071916,IT
4315530987,ENG
4315530987,IT
4395063729,RSCH
4395063729,ANLS
4395063729,IT
4403941128,ENG
4403941128,IT
4229839916,PRJM
4424094242,ENG
4424094242,IT
4413911434,ENG
4413434842,IT
4241960589,ENG
4241960589,IT
4422904571,ENG
4422904571,IT
4422903633,IT
4422903633,ENG
4413452021,IT
4413431895,ENG
4413431895,IT
4404822885,ENG
4404822885,IT
4424083482,IT
4404073238,ENG
4404073238,IT
4391861641,QA
4424086669,ENG
4424086669,IT
4422907561,IT
4419687555,ENG
4419687555,IT
4413556039,OTHR
4229843284,ENG
4229843284,IT
4424088473,ENG
4424088473,IT
4383703142,QA
4229841488,MGMT
4229841488,MNFC
4424095069,ENG
4424095069,IT
4424073927,ENG
4424073927,IT
4424072934,ENG
4424072934,IT
4378744887,MNFC
4419696224,IT
4413428892,ENG
4424083665,EDU
4424083665,TRNG
4413450625,ENG
4413450625,IT
4422916389,IT
4229840657,PRJM
4373920748,ENG
4373920748,IT
3853091293,ENG
3853091293,IT
4424085592,ENG
4424085592,IT
4422913440,IT
4396453535,OTHR
4424087527,IT
4424087527,ENG
4422905584,ENG
4422905584,IT
4424094216,ENG
4424094216,IT
4424082529,ENG
4403956770,ENG
4403956770,IT
4422921377,IT
4424085519,ENG
4424085519,IT
4419691624,ENG
4419691624,IT
4424070969,ENG
4424070969,IT
4422906575,ENG
4422906575,IT
4422906575,RSCH
4229846161,ENG
4229846161,IT
4422911507,MGMT
4422911507,MNFC
4413927989,ENG
4413927989,IT
4422902567,ENG
4422902567,IT
4363494973,IT
4419254463,ENG
4419254463,IT
4424075742,IT
4401652594,IT
4413441706,ENG
4413441706,IT
4422359311,IT
4422359311,QA
4422359311,BD
4422911602,IT
4391850327,ENG
4391850327,IT
4424085524,ENG
4424085524,IT
4424068646,ENG
4424068646,IT
4424088405,QA
